ryanmiller@hotmail.com,1,p01,Japan,American Express,5,2020-50-18 11:50:00
cruzthomas@gmail.com,0,p02,Thailand,Visa,10,2020-50-18 11:50:05
sheri68@yahoo.com,0,p01,Vietnam,American Express,5,2020-50-18 11:50:10
rwebb@miller-brown.net,0,p01,Korea,American Express,5,2020-50-18 11:50:15
rmills@gmail.com,1,p02,Japan,MasterCard,10,2020-50-18 11:50:20
garydillon@gmail.com,0,p02,Singapore,Maestro,10,2020-50-18 11:50:25
bhogan@marquez-klein.org,0,p01,Korea,MasterCard,5,2020-50-18 11:50:30
stanley79@anderson-daniels.com,0,p01,Singapore,Maestro,5,2020-50-18 11:50:35
okelly@williams-molina.net,0,p01,USA,Maestro,5,2020-50-18 11:50:40
kennethparsons@huynh.org,0,p02,Thailand,Maestro,10,2020-50-18 11:50:45
fhuang@yahoo.com,1,p02,Vietnam,Maestro,10,2020-50-18 11:50:51
pattersonjoseph@gmail.com,0,p01,China,MasterCard,5,2020-50-18 11:50:56
jenniferdunn@hotmail.com,1,p01,USA,American Express,5,2020-51-18 11:51:01
victorcooper@owens.info,0,p02,Japan,Maestro,10,2020-51-18 11:51:06
obrientammy@hotmail.com,0,p02,Japan,Maestro,10,2020-51-18 11:51:11
knoxsharon@gmail.com,1,p01,Korea,Maestro,5,2020-51-18 11:51:16
wferguson@hotmail.com,0,p01,Singapore,MasterCard,5,2020-51-18 11:51:21
elizabethnguyen@hotmail.com,0,p01,Vietnam,Visa,5,2020-51-18 11:51:26
tiffany83@gmail.com,1,p01,Japan,MasterCard,5,2020-51-18 11:51:31
sarah54@thomas-wilson.net,0,p02,Korea,Maestro,10,2020-51-18 11:51:36
lbowers@morris-cox.com,1,p02,Japan,Maestro,10,2020-51-18 11:51:41
eric77@hotmail.com,0,p01,Thailand,Visa,5,2020-51-18 11:51:46
josephprice@brown-james.info,1,p01,Korea,American Express,5,2020-51-18 11:51:51
snowdebbie@franklin-morris.com,0,p01,Korea,MasterCard,5,2020-51-18 11:51:56
wellsmonica@smith.com,1,p02,China,Maestro,10,2020-52-18 11:52:01
aguilarkimberly@hotmail.com,1,p02,Japan,American Express,10,2020-52-18 11:52:06
christopheralvarado@barajas.com,1,p02,USA,MasterCard,10,2020-52-18 11:52:11
jgreer@smith-russell.com,0,p01,Korea,Maestro,5,2020-52-18 11:52:16
brownandrew@burch.info,1,p01,Korea,Maestro,5,2020-52-18 11:52:21
msaunders@gmail.com,0,p01,Thailand,Visa,5,2020-52-18 11:52:26
fwyatt@barnett-brown.com,1,p01,Japan,American Express,5,2020-52-18 11:52:31
melanie76@gmail.com,1,p02,China,MasterCard,10,2020-52-18 11:52:36
butlercaroline@smith.com,1,p02,Singapore,American Express,10,2020-52-18 11:52:41
dsnow@gmail.com,0,p01,Vietnam,American Express,5,2020-52-18 11:52:46
josephkatie@smith.org,1,p02,Singapore,Visa,10,2020-52-18 11:52:52
odomjoshua@hotmail.com,1,p01,Vietnam,Visa,5,2020-52-18 11:52:57
stewartmartha@hotmail.com,0,p02,Korea,MasterCard,10,2020-53-18 11:53:02
christopherwright@hall.net,0,p02,Thailand,Visa,10,2020-53-18 11:53:07
kyle00@bell.com,1,p02,Japan,American Express,10,2020-53-18 11:53:12
angelamartinez@yahoo.com,1,p02,Thailand,Maestro,10,2020-53-18 11:53:17
larry81@hotmail.com,0,p01,Japan,Visa,5,2020-53-18 11:53:22
sarah77@hotmail.com,1,p01,Korea,Maestro,5,2020-53-18 11:53:27
allison26@hotmail.com,0,p02,Korea,Maestro,10,2020-53-18 11:53:32
joshualee@ward.com,0,p01,China,Visa,5,2020-53-18 11:53:37
randolphkenneth@gmail.com,1,p01,China,American Express,5,2020-53-18 11:53:42
vincent31@hotmail.com,0,p02,USA,Visa,10,2020-53-18 11:53:47
sextonbill@yahoo.com,0,p02,Korea,MasterCard,10,2020-53-18 11:53:52
jessica69@hotmail.com,0,p01,Japan,American Express,5,2020-53-18 11:53:57
eric66@hotmail.com,1,p01,Japan,Maestro,5,2020-54-18 11:54:02
donnawright@yahoo.com,1,p02,Korea,Visa,10,2020-54-18 11:54:07
jeffrey36@oliver.com,1,p02,China,Maestro,10,2020-54-18 11:54:12
gordondouglas@navarro.com,1,p02,Korea,Maestro,10,2020-54-18 11:54:17
martinadam@barrett.com,0,p01,Singapore,Maestro,5,2020-54-18 11:54:22
zmckay@smith.com,0,p02,Singapore,American Express,10,2020-54-18 11:54:27
mcopeland@yahoo.com,1,p01,Singapore,MasterCard,5,2020-54-18 11:54:32
timothyhayes@hotmail.com,1,p01,Singapore,American Express,5,2020-54-18 11:54:37
tammybrewer@hotmail.com,0,p01,Thailand,Visa,5,2020-54-18 11:54:42
gregory42@yahoo.com,1,p02,Vietnam,Visa,10,2020-54-18 11:54:47
hubbardnatalie@mayer.org,0,p02,Vietnam,Maestro,10,2020-54-18 11:54:52
youngchristy@yahoo.com,1,p02,Thailand,MasterCard,10,2020-54-18 11:54:58
kshelton@kelly.com,0,p02,Vietnam,Visa,10,2020-55-18 11:55:03
anne72@gmail.com,0,p01,USA,American Express,5,2020-55-18 11:55:08
xbeck@hotmail.com,0,p01,Korea,Visa,5,2020-55-18 11:55:13
swilliams@johnson.com,1,p02,China,Maestro,10,2020-55-18 11:55:18
kayla63@hotmail.com,0,p01,Thailand,Maestro,5,2020-55-18 11:55:23
wilsonmichael@gmail.com,0,p01,Thailand,Visa,5,2020-55-18 11:55:28
jamesguzman@yahoo.com,0,p01,China,MasterCard,5,2020-55-18 11:55:33
josemiller@gmail.com,0,p01,Japan,MasterCard,5,2020-55-18 11:55:38
adamhoffman@rush.com,0,p02,China,Maestro,10,2020-55-18 11:55:43
timothyphillips@gmail.com,0,p01,China,Visa,5,2020-55-18 11:55:48
johnthomas@yahoo.com,1,p01,Thailand,Maestro,5,2020-55-18 11:55:53
tommyadams@mason-nelson.com,1,p02,Singapore,Maestro,10,2020-55-18 11:55:58
kingdanielle@gmail.com,0,p01,China,Visa,5,2020-56-18 11:56:03
tmeza@johnson-gonzalez.net,0,p01,Singapore,American Express,5,2020-56-18 11:56:08
stantonnicole@yahoo.com,1,p01,Singapore,Visa,5,2020-56-18 11:56:13
hooverlindsey@gmail.com,0,p01,USA,Maestro,5,2020-56-18 11:56:18
kellerlisa@gmail.com,0,p02,Vietnam,MasterCard,10,2020-56-18 11:56:23
norriskevin@marshall-villa.com,1,p01,China,American Express,5,2020-56-18 11:56:28
rharris@gmail.com,0,p02,USA,Visa,10,2020-56-18 11:56:33
usanchez@yahoo.com,0,p02,Korea,American Express,10,2020-56-18 11:56:39
zcowan@hernandez-jordan.com,0,p02,Korea,Maestro,10,2020-56-18 11:56:44
zachary90@perez-ellis.org,0,p01,Vietnam,MasterCard,5,2020-56-18 11:56:49
joshua83@yahoo.com,0,p01,Thailand,MasterCard,5,2020-56-18 11:56:54
ehenderson@hotmail.com,0,p02,USA,Visa,10,2020-56-18 11:56:59
sjennings@peterson.com,1,p01,Singapore,Visa,5,2020-57-18 11:57:04
trevorrichardson@hotmail.com,0,p01,Japan,Maestro,5,2020-57-18 11:57:09
myersjohn@gmail.com,1,p02,Vietnam,Maestro,10,2020-57-18 11:57:14
ryansmith@gmail.com,1,p01,Thailand,Visa,5,2020-57-18 11:57:19
larsenashley@gmail.com,0,p01,Singapore,American Express,5,2020-57-18 11:57:24
bjones@johnson.com,1,p02,Singapore,Maestro,10,2020-57-18 11:57:29
ymanning@fitzgerald.com,1,p02,China,Maestro,10,2020-57-18 11:57:34
tara90@gmail.com,0,p02,Singapore,American Express,10,2020-57-18 11:57:39
khoffman@yahoo.com,0,p02,Vietnam,American Express,10,2020-57-18 11:57:44
ebrowning@gmail.com,0,p02,Singapore,Visa,10,2020-57-18 11:57:50
ronnie14@hoffman-moore.info,0,p01,Thailand,American Express,5,2020-57-18 11:57:55
jessicagoodman@miller-barber.com,0,p01,Japan,Maestro,5,2020-58-18 11:58:00
ssmith@gmail.com,1,p01,USA,Maestro,5,2020-58-18 11:58:05
john49@novak.com,0,p01,Thailand,American Express,5,2020-58-18 11:58:10
morascott@watts-bailey.org,1,p01,Singapore,MasterCard,5,2020-58-18 11:58:15
sonya67@key-garner.info,0,p01,Korea,Visa,5,2020-58-18 11:58:20
hsullivan@price.com,0,p02,China,Visa,10,2020-58-18 11:58:25
andrewsamanda@silva.com,1,p02,Japan,American Express,10,2020-58-18 11:58:30
amanda23@stevens-jackson.com,1,p01,Japan,American Express,5,2020-58-18 11:58:35
carolbarrera@gmail.com,0,p01,Japan,American Express,5,2020-58-18 11:58:40
vwong@hotmail.com,0,p01,USA,MasterCard,5,2020-58-18 11:58:45
